mode,weight_endpoint,readout,control_kind,mean_relative_to_q,mean_q_to_relative,mean_readout_asymmetry,mean_abs_readout_asymmetry,p_asymmetry_two_sided,dominant_direction,n_events
gmr72_phase_conditioned,rank_reward,q_residual,random_intersection,-0.5879778640624971,-0.6192790168350037,-0.03130115277250666,0.37907727799371904,0.19796040791841632,Relative_to_Qresidual,502
gmr72_phase_conditioned,rank_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9944011197760448,Relative_to_Qresidual,502
gmr72_phase_conditioned,rank_reward,q_residual,performance_matched_intersection,-0.5940767867339856,-0.5973586704625398,-0.0032818837285541495,0.38750277685979795,0.8960207958408318,Relative_to_Qresidual,502
gmr72_phase_conditioned,rank_reward,q_residual,shuffled_c_intersection,-0.6025657505274188,-0.6018609817343537,0.0007047687930651416,0.37511475240030584,0.9782043591281744,Qresidual_to_Relative,502
gmr72_phase_conditioned,rank_reward,q_residual,phase_rotated_intersection,-0.6109358480934034,-0.6045015210598903,0.0064343270335130535,0.3072369319375489,0.737252549490102,Qresidual_to_Relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,true_intersection,-0.6077193035265527,-0.5996710771639406,0.0080482263626121,0.3640978868981687,0.7258548290341932,Qresidual_to_Relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,random_intersection,-0.5879778640624971,-0.6192790168350037,-0.03130115277250666,0.37907727799371904,0.20655868826234752,Relative_to_Qresidual,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.991001799640072,Relative_to_Qresidual,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,performance_matched_intersection,-0.5997412612842729,-0.607636106960745,-0.007894845676472114,0.28352353007479547,0.6616676664667066,Relative_to_Qresidual,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,shuffled_c_intersection,-0.6053264984790518,-0.6039122855007175,0.001414212978334292,0.3558404350894114,0.9476104779044191,Qresidual_to_Relative,502
gmr72_phase_conditioned,gmr72_bridge_composite,q_residual,phase_rotated_intersection,-0.6026735476006636,-0.5920383386378569,0.010635208962806626,0.34300903248241577,0.6150769846030794,Qresidual_to_Relative,502
fes_string_conditioned,z_reward,q_residual,true_intersection,-0.5942974217733487,-0.5962785749986084,-0.00198115322525958,0.35589462913210484,0.9338132373525295,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,q_residual,random_intersection,-0.607631558621871,-0.611755677273869,-0.004124118651997885,0.42238968319536235,0.8794241151769646,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,q_residual,balanced_intersection,-0.6025528223224285,-0.6028232586569008,-0.0002704363344723494,0.34646095079881867,0.9908018396320736,Relative_to_Qresidual,502
fes_string_conditioned,z_reward,q_residual,performance_matched_intersection,-0.5982211135825001,-0.600987763174912,-0.002766649592412018,0.36254047153314245,0.9060187962407519,Relative_to_Qresidual,502
