bridge_variant,operator_pool,direction,comparison,mean_true,mean_control,effect,p_greater,n_pairs
true72_forward,no_suppress,A_to_C_to_B,true_vs_performance_matched,-0.26543173739648784,-0.2708158823481395,0.005384144951651706,0.06678664267146571,502
true72_forward,no_suppress,B_to_C_to_A,true_vs_balanced,-0.26561349453014893,-0.2725933319363927,0.006979837406243806,0.0003999200159968006,502
true72_forward,no_suppress,B_to_C_to_A,true_vs_shuffled_c,-0.26561349453014893,-0.27441424435148193,0.00880074982133302,0.0001999600079984003,502
true72_forward,no_suppress,B_to_C_to_A,true_vs_phase_rotated,-0.26561349453014893,-0.2713158934124659,0.005702398882316947,0.021595680863827234,502
true72_forward,no_suppress,B_to_C_to_A,true_vs_random,-0.26561349453014893,-0.27594551762574393,0.010332023095595019,0.03579284143171366,502
true72_forward,no_suppress,B_to_C_to_A,true_vs_performance_matched,-0.26561349453014893,-0.2784699984743608,0.012856503944211919,0.0003999200159968006,502
reversed72_no_forward,full,A_to_C_to_B,true_vs_balanced,-0.2705988685747741,-0.27785447863173507,0.007255610056960995,0.0003999200159968006,502
reversed72_no_forward,full,A_to_C_to_B,true_vs_shuffled_c,-0.2705988685747741,-0.2783144186106189,0.007715550035844733,0.0009998000399920016,502
reversed72_no_forward,full,A_to_C_to_B,true_vs_phase_rotated,-0.2705988685747741,-0.2792990650563309,0.008700196481556823,0.0007998400319936012,502
reversed72_no_forward,full,A_to_C_to_B,true_vs_random,-0.2705988685747741,-0.28719467442559005,0.016595805850815933,0.001799640071985603,502
reversed72_no_forward,full,A_to_C_to_B,true_vs_performance_matched,-0.2705988685747741,-0.27728151129995127,0.006682642725177126,0.03439312137572485,502
reversed72_no_forward,full,B_to_C_to_A,true_vs_balanced,-0.2714343770675806,-0.2782731613100376,0.006838784242456946,0.0001999600079984003,502
reversed72_no_forward,full,B_to_C_to_A,true_vs_shuffled_c,-0.2714343770675806,-0.2788584777083393,0.0074241006407587415,0.0013997200559888023,502
reversed72_no_forward,full,B_to_C_to_A,true_vs_phase_rotated,-0.2714343770675806,-0.276983951716736,0.005549574649155353,0.02579484103179364,502
reversed72_no_forward,full,B_to_C_to_A,true_vs_random,-0.2714343770675806,-0.28141124167677006,0.009976864609189375,0.03699260147970406,502
reversed72_no_forward,full,B_to_C_to_A,true_vs_performance_matched,-0.2714343770675806,-0.2862368758611438,0.014802498793563205,0.0001999600079984003,502
reversed72_no_forward,core_5,A_to_C_to_B,true_vs_balanced,-0.25925433862631014,-0.2664571274782397,0.007202788851929508,0.0001999600079984003,502
reversed72_no_forward,core_5,A_to_C_to_B,true_vs_shuffled_c,-0.25925433862631014,-0.2663465056031038,0.007092166976793572,0.0001999600079984003,502
reversed72_no_forward,core_5,A_to_C_to_B,true_vs_phase_rotated,-0.25925433862631014,-0.26929464148242804,0.010040302856117882,0.0007998400319936012,502
